@RELATION <ISCXFlowMeter-generated-flows>,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE duration NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowPktsPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowBytesPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE class1 {VPN-BROWSING,VPN-CHAT,VPN-STREAMING,VPN-MAIL,VPN-VOIP,VPN-P2P,VPN-FT},,,,,,,,,,,,,,,,,
@DATA,,,,,,,,,,,,,,,,,,,,,,,
2218398,2191528,2192676,9,17,60217,86113,601.0773450357,370.0094498819,4315.7269344816,3789735.65609057,0,60217,231.7348793482,1815.7413356553,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
3517813,3517813,3304404,6,7,324059,217426,1413.911977492,998.9129383313,1648.1831183181,1322206.43905745,1,217299,606.8333620838,8971.7215188467,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
13567657,13394098,13437531,0,0,3906748,3908013,10604.9865399842,5204.3109992254,283.5419556966,257925.299850962,-9,3777807,3527.7319292772,65256.4421527067,5816127,5816127,5816127,0,3777807,3777807,3777807,0,VPN-BROWSING
14697122,14567358,14567724,4,14,2447126,2406746,15799.737527115,6497.6467439786,215.4163243661,198402.925416282,4,2275153,4643.6404423381,51735.3826721319,5068736,5435233.5,5801731,518305.735074869,1141447,1708300,2275153,801651.200471252,VPN-BROWSING
270207,203681,244006,15,10,27147,66572,593.8221574344,363.1041666667,3763.7811011558,3479554.56372337,3,66526,265.9517716535,2648.2935975742,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
386584,319144,360487,23,10,37637,44652,1039.5570032573,527.7994143485,2566.0658485607,2427443.97077996,0,44652,390.0948536831,2772.2421345564,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
8208684,8078782,8078453,8,19,4969763,4934103,24934.512345679,13071.930420712,115.0001632418,100821.276589524,8,4800946,8704.8610816543,161152.892818387,1498361,3950167.5,6401974,3467378.00461437,1115996,2958471,4800946,2605653.13333318,VPN-BROWSING
728064,554359,594637,46,23,134823,174413,2060.8141263941,1039.5751748252,1157.865242616,1083473.43090717,8,173705,864.6840855107,8378.9534635911,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
10897973,10897973,10758647,13,10,7696125,7839899,23899.0635964912,18841.7635726795,94.4212286083,73078.2687753034,2,7696125,10601.1410505837,241447.12362863,10738389,10700000,10738389,0,7696125,7696125,7696125,0,VPN-BROWSING
1314540,1314535,1183635,7,17,132666,131525,4095.1246105919,2320.8529411765,633.6817441843,547879.866721439,1,131289,1579.9759615385,11183.8142083152,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
1605561,1580328,1578284,8,11,1387450,1387997,6246.3557312253,2901.2573529412,497.6453713064,434808.144941239,3,1361674,2011.9812030075,48241.0561846851,1415482,1415482,1415482,0,1361674,1361674,1361674,0,VPN-BROWSING
10552074,10526819,10526710,10,9,4689991,4689428,36050.75,19749.9249530957,78.3732183834,63003.8227556024,3,4663952,12774.9079903148,194617.096807474,4083099,4577457.5,5071816,699128.495373705,2943883,3803917.5,4663952,1216272.45400835,VPN-BROWSING
6613711,6548606,6588175,11,11,6146080,6106525,34107.3229166667,17429.0343915344,86.4869964835,76861.0844955275,1,6080986,11582.6812609457,254538.050087615,6385743,6385743,6385743,0,6080986,6080986,6080986,0,VPN-BROWSING
1301009,1301009,1060668,2,17,231368,202758,13552.1770833333,6095.7931034483,209.0684999105,186231.609466191,1,201387,4800.7712177122,29291.4764236475,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
13984772,13919756,13959212,2,14,5379801,5339900,99426.8285714286,58652.1512605042,27.1724129646,17973.2640617952,2,5314406,36899.1345646438,372352.529719081,5441654,6771591.5,8101529,1880815.6496083,4819591,5066998.5,5314406,349887.041931392,VPN-BROWSING
6496273,6431093,6470928,28,18,5323248,5284388,71456.5888888889,38748.0718562874,39.8690141255,33091.5895929866,7,5258623,25179.3527131783,331050.542898078,6404373,6404373,6404373,0,5258623,5258623,5258623,0,VPN-BROWSING
1356118,1330893,1330434,22,14,862241,823372,16636.1625,9050.5714285714,168.8643613609,138489.423486747,6,797958,5947.8859649123,54713.8622698557,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
6881637,6856085,6856099,6,13,1358719,1359104,44232.8064516129,30744.8385650224,55.2194194492,29391.1172588731,3,1333542,18157.3535620053,113971.920947506,1388633,2237905,3543205,1147395.43243971,1071144,1225598.66666667,1333542,137243.053364581,VPN-BROWSING
12958861,12828308,12824633,46,22,10010041,10141223,229076.928571429,103424.459677419,14.0444441838,12768.4832795104,8,10010041,71595.9171270718,749849.744618135,1580433,6414154,11247875,6835913.79492757,1311555,5660798,10010041,6150758.43665617,VPN-BROWSING
1301313,1123688,1095209,57,29,433543,467191,18124,9607.0964912281,136.7849241497,119994.190482997,4,232813,7352.0508474576,33936.3238367714,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
11918514,11788396,11787325,4,19,2514227,2517300,84202.8285714286,61713.7434554974,27.9397247006,13419.2064547644,4,2384854,35899.1385542169,170425.832093061,3836965,5797173,7757381,2772152.73867206,1618850,2001852,2384854,541646.622815097,VPN-BROWSING
601185075,1114228,600965621,20,22,224169,600070854,11728.7157894737,5834617.67961165,0.3326762561,236.5378082615,3,600070847,3021030.52763819,42500000,601185075,601000000,601185075,0,600070847,600000000,600070847,0,VPN-BROWSING
601404954,1295300,601185122,12,14,406429,600109667,15796.3414634146,5836748.75728155,0.310938576,235.3239677504,2,600109654,3233359.96774194,44000000,601404954,601000000,601404954,0,600109654,600000000,600109654,0,VPN-BROWSING
913511,913511,700410,27,8,266226,213899,11140.3780487805,7220.7216494845,198.1366398434,146530.255245969,2,213636,5075.0611111111,31449.9193273142,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
2176363,2176363,2047045,31,26,1214855,1383869,28264.4545454545,19311.7452830189,85.0042019645,61841.2461524112,2,1214855,11828.0597826087,91989.3364485082,1645791,1645791,1645791,0,1214855,1214855,1214855,0,VPN-BROWSING
6558546,6533147,6532937,12,16,4447110,4407535,79672.5243902439,49119.8270676692,33.0866018169,21470.7650140748,9,4382180,30363.6388888889,302893.221122321,6446153,6446153,6446153,0,4382180,4382180,4382180,0,VPN-BROWSING
11869689,11844521,11844095,1,6,4974101,4974127,66542.2528089888,51273.1385281385,34.6260125265,12553.825125494,1,4948747,28950.4609756098,289145.398678478,5132931,5841543.5,6550156,1002129.40796661,3112635,4030691,4948747,1298327.24621761,VPN-BROWSING
243280799,3287480,243252392,30,10,2426318,239993334,80182.4390243903,3378505.44444444,0.4727047941,402.4403093152,6,239993319,2134042.09649123,22500000,2628586,122000000,240652213,168000000,2426318,121000000,239993319,168000000,VPN-BROWSING
11208762,11078316,11076984,29,22,9989940,10127962,213044.538461538,145749.789473684,11.5980694389,8633.692106229,5,9989940,86889.6279069767,879331.798934704,11078316,11100000,11078316,0,9989940,9989940,9989940,0,VPN-BROWSING
55899,30362,29712,27,17,26231,25594,607.24,436.9411764706,2146.7289218054,1644966.81514875,3,26187,469.7394957983,3334.6590046548,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
2713771,2534989,2572664,31,19,731251,690675,36738.9710144928,30995.9518072289,56.7476032429,34306.5055968245,8,552437,17737.0653594771,67476.9677796737,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
840977,631649,632952,59,21,208580,209695,21054.9666666667,11508.2181818182,103.4511050837,92086.9417356242,3,209328,9778.8023255814,42588.8097454829,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
13441209,13441209,10216500,33,33,9997631,10050042,258484.788461538,185754.545454545,8.1093895646,5679.5486179852,8,9997631,124455.638888889,1006292.8754476,3223699,6720604.5,10217510,4945371.18443697,3171311,6584471,9997631,4826937.16254925,VPN-BROWSING
889711,701650,673562,57,23,241493,215448,24194.8275862069,12473.3703703704,95.5366405496,85054.5851405681,0,215979,10591.7976190476,43147.6307334523,-1,0,-1,0,-1,0,-1,0,VPN-BROWSING
